Company Name	Website	Do	What	Market (For)	Size	What is local?	Maker connection	Address	City	State		Lat	Long	Notes	Wikipedia Page	Twitter	Facebook	YouTube	Instagram	Flikr	LinkedIn	TikTok	Pintrest	Phone
Huan	https://www.gethuan.com/	Create	Accessories	Pet	Small	HQ	Startup	<online>	Agoura Hills	CA				Air tag holder for dog collars (was app for BLE beacons)	-	https://twitter.com/gethuan/	-	https://www.youtube.com/channel/UCc6GvJ1PVik4hAatSw8w88Q	https://www.instagram.com/gethuan/		https://www.linkedin.com/company/huan			-
Quill Technologies	https://quill.codes/	Create + Consulting	Custom Software		Small	HQ	Programming		Ventura	CA				Programming?	-	https://twitter.com/QuillCodes		-	-	-	https://www.linkedin.com/in/caseymcquillan/			
Chaparral Software	http://www.chapsoft.com/index.html	Create + Consulting	Custom Software		Small	HQ	Programming	5737 Kanan Road, Suite 589	Agoura Hills	CA	91301	34.15442645	-118.7566644	Consulting, Filemaker	-	-	-	-	-	-	-	-		(877) 203-3109
High Tech Corp	https://htemfg.com/				Small	HQ	Machining	4610 Calle Quetzal	Camarillo	CA	93012	34.1968436	-119.0108615		-	-	-	-	-	-	-	-		805-987-5449
Coastline Optics	http://www.coastlineoptics.com/	Create			Small	HQ	STEM (Optics)	906 Via Alondra	Camarillo	CA	93012	34.22646517	-119.0224182	Optics. Polish Metals, Measure lenses	-	-	-	-	-	-	https://www.linkedin.com/company/coastline-optics-llc	-		805-384-0609
Lundberg Survey	https://www.lundbergsurvey.com/	Create	Research	B2B	Medium	HQ	Research		Camarillo	CA				Publish the Lundberg Gas price survey	-	-	https://m.facebook.com/profile.php?id=2103861336499839			-	https://www.linkedin.com/company/lundberg-survey-inc	-		805-383-2400
Big Shot Digital	http://bigshotsdigital.com/	Create	Photo Stuff	Consumers, B2B	Medium	HQ	Printing	3201 Corte Malpaso, Unit 302	Camarillo	CA	93012	34.227754	-119.000133	Printing	-	-	https://m.facebook.com/profile.php?id=166806529998924	-	-	-	-	-		805-484-9111
Axion Communications	https://www.axioncommunications.com/	Consulting	IT	B2B	Small	HQ	Phones	2060-D E Avenida De Los Arboles, #350	Thousand Oaks	CA	91362	34.21119183	-118.8418267	Consulting, VOIP	-	https://twitter.com/axionco	https://www.facebook.com/Axiontelecom/	https://www.youtube.com/user/TheHIVEBiz	-	https://www.flickr.com/photos/48045487@N08/	https://www.linkedin.com/company/axion-communications			(805) 642-1414
Pulse Insturments	http://www.pulseinstruments.net/	Create	Water Treatment	B2B	Medium	HQ	Electronics product design	3233 Mission Oaks Blvd, Unit P	Camarillo	CA	93012	34.218941	-119.026703	Electronics Parts, Sensors for water treatment, etc	-	-	-	-	-	-	-	-		1(800) 462-1926
Zanders Game House	https://www.zandersgamehouse.com/	Retail	Games, Comics	Geeks	Medium	HQ	Games	2270 Ventura Blvd	Camarillo	CA		34.2157616	-119.0698541	Retail store selling games, Game nites	-	-	https://www.facebook.com/Zandersgamehouse/	-	https://www.instagram.com/zandersgamehouse/	-	-	-		(805) 383-9983
Arsenal Comics and games	https://arsenalcomicsandgames.com	Retail	Games, Comics	Geeks	Medium	HQ	Games	1610-1 Newbury Rd	Newbury Park	CA		34.183671	-118.91183	Retail store selling Comics	-	https://twitter.com/arsenal_comics	https://www.facebook.com/arsenalcomicsandgames	https://www.youtube.com/channel/UC5sYeZrwSBHrrZ28_MQ1Gxw	https://www.instagram.com/arsenalcomicsandgames/	-	https://www.linkedin.com/company/arsenal-comics-&-games?trk=public_profile_topcard-current-company	-		805-620-0543
A Hidden Fortress	https://www.ahiddenfortress.com/	Retail	Games, Comics	Geeks	Medium	HQ	Games	1960 Sequoia Avenue, Unit #10	Simi Valley	CA	93063	34.2714266	-118.7313708	Retail store selling Card Games	-	https://twitter.com/ahiddenfortress		-	-	-	-	-		805-526-6457
The Game Ogre	http://www.thegameogre.com/	Retail	Games, Comics	Geeks	Medium	HQ	Games	1145 Lindero Canyon Rd., Unit D4	Westlake Village	CA	91362	34.1850477	-118.7882413	Retail store selling Games (also has meetings?)	-	https://twitter.com/gameogre	https://www.facebook.com/TheGameOgre/	-	https://www.instagram.com/thegameogre/	-	-	-		818-852-7270
Hagoenergetics	https://hagoenergetics.com/				Medium	HQ	Research?	412 Calle San Pablo Suite 103	Camarillo	CA	93012	34.2057745	-119.0390043	Benefit Corporation? Env Research ?	-	https://twitter.com/hagoco2?lang=hr		https://www.youtube.com/channel/UClsO5tjX_MDjgvg5nXFFhqw/featured	https://www.instagram.com/hagoenergetics/	-	https://www.linkedin.com/in/wilson-hago-a168366	-		(805) 400-4196
Applied Wireless	http://www.appliedwireless.com/				Medium	HQ	STEM	1250 Avenida Acaso	Camarillo	CA	93012	34.22922078	-119.011037	Designing and manufacturing wireless products for unlicensed use for the past decade.	-	-	-	-	-	-	https://www.linkedin.com/company/applied-wireless-inc.	-		(805) 383-9600
The Makery	https://themakerywa.com/	Retail + Teaching	Crafts	Makers	Medium	HQ	Kids Crafts	1111 Rancho Conejo Blvd. #304	Thousand Oaks	CA	91320	34.194029	-118.923727	Teaching kids craft skills	-	-	https://www.facebook.com/shopthemakery/	-	https://www.instagram.com/themakerydiy/?hl=hr	-	-	-		805-376-0230
Art Trek	https://www.arttrek.org/	Create + Teaching	Crafts	Artists	Medium	?	Kids Crafts	703 Rancho Conejo Blvd	Newbury Park	CA	91320	34.1887604	-118.9243108	Teaching craft skills	-	https://twitter.com/arttrekinc	https://www.facebook.com/arttrekinc	http://www.youtube.com/arttrekinc	https://www.instagram.com/arttrekinc	https://www.flickr.com/photos/arttrekinc/	https://www.linkedin.com/company/art-trek-inc-	-		(805) 499-1700
Ukaton	https://www.linkedin.com/company/ukaton/about/				Small	HQ	Startup		Camarillo	CA				Design/make SmartShoe Insoles?	-	https://twitter.com/concretescifi	https://www.facebook.com/concretescifi/	https://www.youtube.com/channel/UCL-Ko-jT7ORIfxBuPw_vkJQ	https://www.instagram.com/concretescifi/channel/	-	https://www.linkedin.com/company/ukaton	-		(805) 312-4900
Alcatel-Lucent Enterprise	http://www.al-enterprise.com/	Create	Hardware/Software	B2B, B2C	Large		Local	26801 Agoura Rd	Calabasas	CA	91301	34.13935675	-118.7104745		https://en.wikipedia.org/wiki/Alcatel-Lucent	https://twitter.com/ALUEnterprise	https://www.facebook.com/ALUEnterprise	https://www.youtube.com/user/EnterpriseALU	https://www.instagram.com/alcatel_lucent_enterprise/?hl=en	https://www.flickr.com/photos/alcatel-lucent/	https://www.linkedin.com/company/alcatellucententerprise	-		18188784500
Hixme	?? website broken ??				Medium	Branch	Insurance?	27489 Agoura Rd #100	Agoura Hills	CA		34.1370429	-118.7256728	Local? Got $23M funding	-	https://twitter.com/joinhixme	https://www.facebook.com/joinhixme/		https://www.instagram.com/joinhixme/?hl=hr	-	https://www.linkedin.com/company/hixme	-		855-449-6348
Micheals Craft Store		Retail	Craft Supplies	Crafts, Makers	Large	Branch	Local crafts			CA				Retail crafts store	https://en.wikipedia.org/wiki/Michaels	https://twitter.com/michaelsstores	https://www.facebook.com/Michaels	https://www.youtube.com/subscription_center?add_user=MichaelsStores	https://instagram.com/michaelsstores#	-	https://www.linkedin.com/company/michaels-stores-inc.	https://www.tiktok.com/@michaelscraftstore?lang=en		-
Amazon (warehouse)		Distribute	Everything	Consumers	Large	Branch	Local?																	
HRL	https://www.hrl.com/				Large	Branch	STEM		Malibu	CA				Research Arm of Boeing	https://en.wikipedia.org/wiki/HRL_Laboratories	https://twitter.com/hrllaboratories	https://www.facebook.com/hrllabs	https://www.youtube.com/user/HRLLaboratories	https://www.instagram.com/hrllaboratories/?hl=hr		https://www.linkedin.com/company/hrl-laboratories	-		(310) 317-5000
SkyWorks	https://www.skyworksinc.com/				Large	Branch	STEM	Borchard + Wendy	Newbury Park	CA				HQ in Irving, CA. $1B/quarter	https://en.wikipedia.org/wiki/Skyworks_Solutions	https://twitter.com/skyworksinc	https://www.facebook.com/skyworksinc/	https://www.youtube.com/channel/UCVT7P0K4jQyDE15ANfd_-RA	-		https://www.linkedin.com/company/skyworks-solutions-inc/			-
Batteries + (?)	https://www.batteriesplus.com/	Retail	Batteries	Consumers	Large	Branch	Some Electronic Parts			CA				Retail selling small consumer electronics parts	https://en.wikipedia.org/wiki/Batteries_Plus_Bulbsbs	http://twitter.com/batteriesplus	http://www.facebook.com/BatteriesPlus	http://www.youtube.com/batteriesplus	https://www.instagram.com/batteriesplus/	-	https://www.linkedin.com/company/batteries-plus	-		800-677-8278
Wild Birds Unlimited					Large	Branch	Local?								https://en.wikipedia.org/wiki/Wild_Birds_Unlimited	https://twitter.com/wbu_inc	https://www.facebook.com/wildbirdsunlimited/	https://www.youtube.com/user/WildBirdsUnlimited	https://www.instagram.com/wildbirdsunlimited/?hl=hr	https://www.flickr.com/photos/wildbirdsunlimited/	https://www.linkedin.com/company/wild-birds-unlimited-inc.			(317) 571-7100
Haas	https://www.haascnc.com/	Retail	CNC Machines	Builders	Large	HQ	CNC		Torrance	CA				HQ designing CNC machienes										
Haas	https://www.haascnc.com/	Create	CNC Machines	Builders	Large	Branch	CNC	2800 Sturgis Rd	Oxnard	CA	93030	34.20069625	-119.13659	Factory making CNC machines	https://en.wikipedia.org/wiki/Haas_Automation	http://twitter.com/Haas_Automation	http://www.facebook.com/pages/Oxnard-CA/Haas-Automation-Inc/177787316584	http://www.youtube.com/user/haasautomation	http://instagram.com/haas_automation	http://www.flickr.com/photos/haasautomation	https://www.linkedin.com/company/haas-automation	https://www.tiktok.com/@haas_automation		
Harbor Freight		Retail	Tools	DIY	Large		Tools			CA				Interesting and Cheap tools	https://en.wikipedia.org/wiki/Harbor_Freight_Tools	https://twitter.com/harborfreight	https://www.facebook.com/harborfreight/	https://www.youtube.com/harborfreight	https://www.instagram.com/harborfreight/?hl=hr		https://www.linkedin.com/company/harbor-freight-tools			-
Joanne Fabrics		Retail	Craft Supplies	DIY	Large	Branch	Crafts			CA				Fabrics and other crafts	https://en.wikipedia.org/wiki/Jo-Ann_Stores	https://twitter.com/JoAnn_Stores	https://www.facebook.com/JoAnn	https://www.youtube.com/user/Joanndotcom	https://www.instagram.com/joann_stores/		https://www.linkedin.com/company/jo-ann-stores-inc-	-		-
Amgen	https://www.amgen.com/	Create	Drugs	Consumers	Large	HQ	STEM	One Amgen Center Drive	Thousand Oaks	CA	91320-1799	34.1892288	-118.9231888	Local HQ, Pharma company, many STEM jobs	https://en.wikipedia.org/wiki/Amgen	http://www.twitter.com/amgen	https://www.facebook.com/amgenbiotech/	https://www.youtube.com/user/Amgen	https://www.instagram.com/amgenbiotech/		https://www.linkedin.com/company/amgen	https://www.tiktok.com/@amgenbiotech		805-447-1000
Atara Biotheraputics					Large	HQ	STEM							STEM biotech?	-	https://twitter.com/Atarabio	-	-	-	-	https://www.linkedin.com/company/atarabio			
On Assignment	http://onassignment.com/	Hire	Staff	Science	Large	HQ	STEM	26651 W. Algonquin Road	Calabasas	CA	91302	34.1446643	-118.644097	Temporary jobs for scientific and tech workers	Could not event find the company??									
Blackline	https://www.blackline.com/				Large	HQ	STEM	21300 Victory Blvd 12th Floor	Woodland Hills	CA	91367			Local HQ, Accounting software	https://en.wikipedia.org/wiki/Blackline_(software_company)	https://twitter.com/blackLine	https://www.facebook.com/blackline	https://www.youtube.com/channel/UCZ_JmAcNaCl57KX90KcbVgA	https://www.instagram.com/blackline/		https://www.linkedin.com/company/blackline	-		-
Cheesecake Factory		Restaurant	Food	Consumers	Large	HQ	Local	26901 Malibu Hills Rd	Calabasas Hills	CA	91301	34.13706515	-118.7075769	Local HQ, Resturant chain	https://en.wikipedia.org/wiki/The_Cheesecake_Factory	https://www.twitter.com/cheesecake	https://www.facebook.com/thecheesecakefactory	https://www.youtube.com/thecheesecakefactory	http://www.instagram.com/cheesecakefactory		https://www.linkedin.com/company/the-cheesecake-factory	https://www.tiktok.com/@thecheesecakefactory		-
Diodes, Inc	https://www.diodes.com/	Create	Electronics	Engineers	Large	HQ	Local? tech			CA				Local HQ	https://en.wikipedia.org/wiki/Diodes_Incorporated	https://twitter.com/diodesinc	https://www.facebook.com/DiodesInc	https://www.youtube.com/channel/UC56hxWwP0_TIbsWnHIn1nTw	-	-	https://www.linkedin.com/company/diodes-incorporated	-		-
Opto Diode	https://optodiode.com/	Create	Electronics	Engineers	Large	HQ	Local tech	1260 Calle Suerte	Camarillo	CA	93012			Delivering industry-leading sensors, photodiodes, detectors, and LEDs. Available in standard and custom designs, 										
Takeda Pharmaceuticals	https://www.takeda.com/				Large	Branch	Local	1700 Rancho Conejo Blvd	Thousand Oaks	CA	91320	34.1854417	-118.9255714	Local HQ, Pharma	https://en.wikipedia.org/wiki/Takeda_Pharmaceutical_Company	http://www.twitter.com/takedapharma	-	https://www.youtube.com/takeda-pharmaceuticals/	-	-	https://www.linkedin.com/company/takeda-pharmaceuticals/	-		-
AeroVironment	https://www.avinc.com/				Large	Branch	Local tech	14501 Princeton Ave	Moorpark	CA	93021	34.28763414	-118.8624254	Local HQ, STEM	https://en.wikipedia.org/wiki/AeroVironment	https://twitter.com/aerovironment	https://www.facebook.com/aerovironmentinc	https://www.youtube.com/user/AeroVironmentInc	https://www.instagram.com/aerovironmentinc		https://www.linkedin.com/company/aerovironment	-		-
Guitar Center		Retail	Instruments	Muscians	Large	HQ	Local			CA				Local HQ, Chain of retail stores	https://en.wikipedia.org/wiki/Guitar_Center	https://twitter.com/guitarcenter	https://www.facebook.com/GuitarCenter	https://www.youtube.com/guitarcenter	https://instagram.com/guitarcenter#	https://www.flickr.com/people/guitarcenter/	https://www.linkedin.com/company/the-guitar-center-company	https://www.tiktok.com/@guitarcenter		-
Trade Desk		Create	Software	Finance	Large	HQ	Local			CA				Local HQ, SW for traders	https://en.wikipedia.org/wiki/The_Trade_Desk	https://www.twitter.com/TheTradeDesk	https://www.thetradedesk.com/assets/global/facebook-footer.svg	https://www.youtube.com/channel/UCepu1fEfXlB39NF13-yiqew	https://www.instagram.com/thetradedesk		https://www.thetradedesk.com/assets/global/linkedin-footer.svg	-		-
Patagonia		Create	Apparel	Consumers	Large	HQ	Local			CA				Local HQ, Clothing, Social Benefit Corporation	https://en.wikipedia.org/wiki/Patagonia,_Inc.	https://twitter.com/patagonia	https://hr-hr.facebook.com/PATAGONIA/	-	https://www.instagram.com/patagonia/		https://www.linkedin.com/company/patagonia_2	https://www.tiktok.com/@patagonia		1-800-638-6464
Teledyne Technologies		Create	Rockets, Weapons	Military, Government	Large	HQ	Local tech			CA				Local HQ	https://en.wikipedia.org/wiki/Teledyne_Technologies	https://twitter.com/teledynemarine ??	-	-	-	-	https://www.linkedin.com/company/teledyne-technologies-incorporated	-		(805) 373-4545
Benchmark (Arrow?)	https://www.bench.com/moorpark-california	Online Retail, Consulting	Electronics	Engineers	Large	Branch	Electronics	200 Science Drive	Moorpark	CA	93021	34.279682	-118.869234	Formerly Arrow??	-	https://twitter.com/BenchElec	https://www.facebook.com/BenchBHE/	-	-	-	https://www.linkedin.com/company/benchelec/	-		(623) 300-7000
Spirent	https://www.spirent.com/				Large	Branch	Network testing	27349 Agoura Rd	Calabasas	CA	91301	34.13811497	-118.7200176		https://en.wikipedia.org/wiki/Spirent	https://twitter.com/Spirent	https://www.facebook.com/spirent	https://www.youtube.com/channel/UCyi1h4XXdj1AeUjeCDksYvg	https://www.instagram.com/spirent_/?hl=hr	-	http://www.linkedin.com/company/spirent-communications	-		800-774-7368
Lukys Hardware	http://www.lukyshardware.com/				Medium	remote			Burbank	CA					-	-	https://m.facebook.com/profile.php?id=140415952661134	-	-	-	-	-		(818) 845-8338
Apex Surplus	https://www.apexsurplus.com/	Retail	Electronics	Makers	Medium	remote	Props		Sun Valley	CA				Nearby: Tons of surplus electronics equipment, fascinating Movie Props	-	-	https://www.facebook.com/ApexSurplus/	-	https://www.instagram.com/apexsurplus/	-	https://www.linkedin.com/company/apex-surplus-corporation?trk=public_profile_topcard-current-company	-		(818) 767-7202
All Electronics	https://www.allelectronics.com/	Retail	Electronics	Makers	Medium	remote			Van Nuys	CA				Nearby: Tons of surplus electronics equipment	-	https://twitter.com/AllElectronicsC	https://www.facebook.com/allelectronics		https://www.instagram.com/allelectronicscorp/		https://www.linkedin.com/company/all-electronic	-		818-904-0524 (customer service)
Freedom Photonics	https://freedomphotonics.com/	Create	Electronics	Engineers	Big	remote			Santa Barbra	CA				Nearby:  interesting products	-	-	-	-	-	-	https://www.linkedin.com/company/freedom-photonics	-		805-967-4900
SparkFun	https://sparkfun.com/	Online Retail	Electronics	Consumers	Big	remote	Electronics, sensors							Electronics, sensors for makers	https://en.wikipedia.org/wiki/SparkFun_Electronics	https://twitter.com/sparkfun	https://www.facebook.com/SparkFun	https://www.youtube.com/sparkfun	https://www.instagram.com/sparkfun/	https://www.flickr.com/photos/sparkfun/	https://www.linkedin.com/company/sparkfun-electronics	https://www.tiktok.com/@sparkfun.electronics?lang=en		-
AdaFruit	https://adafruit.com/	Online Retail	Electronics	Consumers	Big	remote	Electronics, sensors							Electronics, sensors for makers	https://en.wikipedia.org/wiki/Adafruit_Industries	https://twitter.com/adafruit/	https://www.facebook.com/adafruitindustries	https://www.youtube.com/adafruit	https://www.instagram.com/adafruit/	https://www.flickr.com/photos/adafruit/	https://www.linkedin.com/company/adafruit	https://www.tiktok.com/@adafruit		-
Yoctapuse	https://www.yoctopuce.com/	Online Retail	Electronics	Consumers	Medium	remote	Electronic gadgets / USB Dongles							Electronic gadgets / USB Dongles	-	https://twitter.com/yoctopuce	-	https://www.youtube.com/c/Yoctopuce/featured	-	-	-	-		41 22 756 59 14
Osh Park	https://oshpark.com/	Manufactuer	Custom PCB	Makers	Medium	remote	Make PCB Boards							Cheap PCB makers	-	https://twitter.com/oshpark	https://www.facebook.com/oshpark/	-	https://www.instagram.com/oshpark/	https://www.flickr.com/photos/144141882@N07/	-	-		503-616-248
Maker Gear	https://makergear.com/				Medium	remote	3D printers								-	https://twitter.com/makergear?lang=en	https://www.facebook.com/Makergear/	https://www.youtube.com/c/MakerGear	https://www.instagram.com/makergear/?hl=hr		https://www.linkedin.com/company/makergear-llc	https://www.tiktok.com/@makergear		216- 765-0030
Nordic Semi	https://www.nordicsemi.com/	Create	Semiconductors	Engineers, Makers	Big	remote	Electronic parts							Big chip maker	https://en.wikipedia.org/wiki/Nordic_Semiconductor	https://twitter.com/NordicTweets	https://www.facebook.com/nordicsemiconductor/	https://www.youtube.com/user/NordicSemi	https://www.instagram.com/nordicsemi/	-	https://www.linkedin.com/company/nordic-semiconductor	https://www.tiktok.com/@nordic_semiconductor?traffic_type=others&referer_url=amp_nordicsemi&referer_video_id=7125744508834204934		-
Arrow Electronics Inc﻿	https://arrow.com	Online Retail			Big	remote								Computer chip retail	https://en.wikipedia.org/wiki/Arrow_Electronics	https://twitter.com/Arrow_dot_com	https://www.facebook.com/ArrowDotCom	https://www.youtube.com/channel/UCPyQ-SpXmUVEyEzC_4s4pQA	https://www.instagram.com/arrowelectronics/?hl=hr	-	https://www.linkedin.com/company/arrow-electronics	-		18553264757
11 Health	https://eleven.health/				Medium	remote	Health		Irvine	CA				Nearby?	-	-	https://www.facebook.com/11health/	https://www.youtube.com/c/11HealthandTechnologies	-	-	https://www.linkedin.com/company/11-health-&-technologies-limited	-		
Sabrewing Aircraift Company	https://www.sabrewingaircraft.com/	Create	Aircraft	Consumers		remote	Airplanes	1000 Town Center Drive, Ste 300	Oxnard	CA	93036	34.2430217	-119.181846	Nearby: Aircraft. Started in Camarillio Airport, moved	-	https://twitter.com/sabrewingair	https://www.facebook.com/SabrewingAircraftCompany/	https://www.youtube.com/c/SabrewingAircraft/featured	-	-	https://www.linkedin.com/company/sabrewing-aircraft-company/			805-996-0601
Cambium Networks acquired Xirrus															https://en.wikipedia.org/wiki/Cambium_Networks	https://twitter.com/CambiumNetworks	https://www.facebook.com/CambiumNetworks/	https://www.youtube.com/user/CambiumNetworksLtd	https://www.instagram.com/cambiumnetworks/	-	https://www.linkedin.com/company/cambium-networks	https://www.tiktok.com/@cambiumnetworks		1-888-863-5250
Crash Space	https://blog.crashspace.org/	Clubhouse	Makerspace	Makers	Medium	HQ	Makerspace	10526 Venice Blvd	Culver City	CA		34.0193445	-118.405315	Nearby makerspace (started by one of our members in 2009)	-	https://twitter.com/crashspacela	https://www.facebook.com/groups/149637545078593/about/	https://www.youtube.com/channel/UCLc4X_ZDE26ZmY9ZcBCVX-w	https://www.instagram.com/crashspacela/?hl=hr	https://www.flickr.com/groups/crashspace/	https://pr.linkedin.com/company/crash-space ??	-		424-241-3379
Null Space Labs	https://www.nsl.ninja/	Clubhouse	Makerspace	Makers	Medium	HQ	Makerspace	2522 N Ontario St	Ontario	CA		34.065846	-117.6484304		-	https://twitter.com/nullspacelabs	https://www.facebook.com/nullspacelabs/		??	https://www.flickr.com/photos/nullspacelabs/	??	-		234-312-4521
Hex Lab	https://www.hexlabmakerspace.com/	Clubhouse	Makerspace	Makers	Medium	HQ	Makerspace	16556 Arminta Street	Van Nuys	CA		34.214715	-118.494281		-	https://twitter.com/hexlabmake	-	https://www.youtube.com/c/hexlabmakerspacelosangeles?app=desktop	https://www.instagram.com/hexlabla/	-	??	-		(818) 530-7900
